,brand,name,category
0,gallo,ecco-domani-pinot,other
1,fresh-craft-co,fresh-craft-mango,other
2,1000-stories,1000-stories-zinfandel,other
4,wine-cube153,pink-moscato--,wine
5,beck's-na,beck's-non-alcoholic,beer
8,california-roots,california-roots-moscato,wine
9,charles-charles,charles-charles-red,other
10,fancy-pants,fancy-pants-sauvignon,other
11,martini-rossi,martini-rossi-asti,wine
12,603-brewery,603-winni-amber,other
15,coppola,sofia-coppola-riesling,other
17,sancho-libre,sancho-libre-peach,other
18,modern-house-wines,modern-house-with,other
19,estancia,estancia-cabernet-sauvignon,other
20,voga-italia,voga-italia-pinot,other
21,michelob-ultra,michelob-ultra-light,beer
24,risata,risata-moscato-d'asti,other
25,barefoot,barefoot-refresh-perfectly,other
26,tecate,tecate-beer--,beer
27,bud-light,bud-light-raz-ber-rita,other
29,middle-sister,middle-sister-red,other
30,robert-mondavi-winery,robert-mondavi-private,other
34,love-noir,love-noir-ros233,other
35,handsome-devil,handsome-devil-malbec,other
36,apothic,apothic-white-blend,other
39,promisqous,promisqous-red-blend,other
47,disaronno,disaronno-almond-liqueur,other
52,beringer,beringer-be-flirty,other
54,josh-cellars,josh-cellars-ros233,other
57,strongbow,strongbow-gold-apple,cider
58,spikedseltzer,spiked-seltzer-indian,other
59,truly-spiked-sparkling,truly-colima-lime,other
60,cupcake-vineyards,cupcake-vineyards-cabernet,other
62,margaritaville,cayman-jack-margarita,other
63,george-killian's,george-killian's-premium,other
64,entwine,entwine-cabernet-sauvignon,wine
65,la-marca,la-marca-prosecco,other
67,bogle-vineyards,bogle-vineyards-chardonnay,other
68,black-box,black-box-cabernet,other
71,jim-beam,jim-beam-bourbon,whiskey
94,yellow-tail,yellow-tail-cabernet,other
95,el-jimador,el-jimador-tequila,tequila
96,basil-hayden's,basil-hayden's-bourbon,other
100,cook's-california-champagne,cook's-brut-champagne,other
101,menage-a-trois,menage-a-trois,other
103,davinci,davinci-chianti--,other
104,sauza,hornitos-reposado-tequila,tequila
108,pinnacle,pinnacle-whipped-cream,vodka
114,skinnygirl,skinnygirl-original-margarita,gin
115,mirassou,mirassou-pinot-noir,other
116,seagram's,seagram's-escapes-malt,other
123,rumchata,rumchata-caribbean-rum,rum
125,corona-extra,corona-extra-beer,beer
127,absolut,absolut-mandarin-vodka,vodka
131,schmitt-sohne-family-wines,schmitt-sohne-relax,other
132,blue-moon,blue-moon-belgian,other
133,kinky,kinky-fruit-liqueur,other
134,corona-light,corona-light-beer,beer
144,chateau-ste-michelle,chateau-ste-michelle,other
145,leinenkugel's,leinenkugel's-sunset-wheat,beer
146,sierra-nevada,sierra-nevada-torpedo,beer
148,new-belgium,new-belgium-fat,other
149,smirnoff,smirnoff-ice-party,other
172,heineken,heineken-lager--,other
176,effen,effen-black-cherry,vodka
209,sammy's-beach-bar,sammy's-beach-bar,rum
210,miller-genuine-draft,miller-genuine-draft,beer
211,lolailo,lolailo-red-sangria,other
218,diseno,diseno-malbec--,other
219,frontera,frontera-cabernet/merlot--,other
224,rolling-rock,rolling-rock-extra,beer
225,small-town-brewery,not-your-father's,other
229,14-hands-winery,14-hands-red,other
230,meiomi,meiomi-pinot-noir,other
237,19-crimes,19-crimes-red,other
247,fetzer-valley-oaks,fetzer-gewurztraminer--,other
250,trump-winery,trump-chardonnay--,rum
251,columbia-crest,columbia-crest-2,other
254,wild,wild-blue-premium,other
256,kendall-jackson,kendall-jackson-vintner's-reserve,other
266,blackstone-winemaker's-select,blackstone-merlot--,other
267,riunite,riunite-lambrusco--,other
271,carnivor,carnivor-cabernet-sauvignon,other
272,bartenura,bartenura-moscato--,other
273,luccio,luccio-moscato-d'asti,other
